[2020-11-02 11:11:27] [class-ss-plugin.php:232] Received request to start generating a static archive
[2020-11-02 11:11:30] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-1-150x150.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-1-150x150.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-1-300x300.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-1-300x300.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-1-768x768.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-1-768x768.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-1.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-1.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-1024x1024.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-1024x1024.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-150x150.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-150x150.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-2.jpg to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-2.jpg
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-2.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-2.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-2_uwp_avatar_thumb.jpg to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-2_uwp_avatar_thumb.jpg
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-2_uwp_avatar_thumb.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-2_uwp_avatar_thumb.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-3-1024x1024.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-3-1024x1024.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-3-150x150.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-3-150x150.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-3-300x300.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-3-300x300.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-3-768x768.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-3-768x768.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-3.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-3.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-300x300.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-300x300.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo-768x768.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo-768x768.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\logo.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\logo.png
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\elementor\css\global.css to queue as: http://localhost/gtfofficial/wp-content/uploads\elementor\css\global.css
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\elementor\css\post-97.css to queue as: http://localhost/gtfofficial/wp-content/uploads\elementor\css\post-97.css
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\ur-logs\.htaccess to queue as: http://localhost/gtfofficial/wp-content/uploads\ur-logs\.htaccess
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\ur-logs\index.html to queue as: http://localhost/gtfofficial/wp-content/uploads\ur-logs\index.html
[2020-11-02 11:11:31] [class-ss-setup-task.php:99] Adding files from directory: D:\webes szar\htdocs\gtfofficial/wp-content/
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\index.php to queue as: http://localhost/gtfofficial/wp-content\index.php
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\admin-hu_HU.mo to queue as: http://localhost/gtfofficial/wp-content\languages\admin-hu_HU.mo
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\admin-hu_HU.po to queue as: http://localhost/gtfofficial/wp-content\languages\admin-hu_HU.po
[2020-11-02 11:11:31] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\admin-network-hu_HU.mo to queue as: http://localhost/gtfofficial/wp-content\languages\admin-network-hu_HU.mo
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\admin-network-hu_HU.po to queue as: http://localhost/gtfofficial/wp-content\languages\admin-network-hu_HU.po
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\continents-cities-hu_HU.mo to queue as: http://localhost/gtfofficial/wp-content\languages\continents-cities-hu_HU.mo
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\continents-cities-hu_HU.po to queue as: http://localhost/gtfofficial/wp-content\languages\continents-cities-hu_HU.po
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\hu_HU-0ce75ad2f775d1cac9696967d484808c.json to queue as: http://localhost/gtfofficial/wp-content\languages\hu_HU-0ce75ad2f775d1cac9696967d484808c.json
[2020-11-02 11:11:32] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content\languages\hu_HU-1a0cd6a7128913b15c1a10dd68951869.json to queue as: http://localhost/gtfofficial/wp-content\languages\hu_HU-1a0cd6a7128913b15c1a10dd68951869.json
